accuracy,balanced_accuracy,macro_f1,weighted_f1,subset,protocol,method,heldout_group,n_train,n_test
0.936,0.9381561996779387,0.9389580192368159,0.9387044351100112,class_material_freqmatched,board_lobo,frequency_plus_v62a_lr,C03,795,125
0.943502824858757,0.947995514437903,0.9501221001221001,0.9440736601753551,class_material_freqmatched,board_lobo,frequency_plus_v62a_lr,W01,743,177
0.9636363636363636,0.9606177606177606,0.9620826634782309,0.9635809758301217,class_material_freqmatched,board_lobo,frequency_plus_v62a_lr,W02,755,165
0.9292035398230089,0.9128735632183907,0.9228314375682796,0.9280035805420063,class_material_freqmatched,board_lobo,frequency_plus_v62a_lr,W03,807,113
0.8764705882352941,0.8331062271062273,0.7911644403569018,0.8680509248089456,class_material_freqmatched,board_lobo,v61_knn,C01,750,170
0.9294117647058824,0.9270562770562771,0.9284190385885301,0.9280807261864092,class_material_freqmatched,board_lobo,v61_knn,C02,750,170
0.936,0.9390821256038647,0.9391726026981944,0.9368761291247921,class_material_freqmatched,board_lobo,v61_knn,C03,795,125
0.8418079096045198,0.8534197789874829,0.8586223580341228,0.84396169356289,class_material_freqmatched,board_lobo,v61_knn,W01,743,177
0.8242424242424242,0.8337307896131426,0.8332978398053026,0.830502510404817,class_material_freqmatched,board_lobo,v61_knn,W02,755,165
0.8761061946902655,0.8331034482758621,0.8353232410867466,0.8652648777174167,class_material_freqmatched,board_lobo,v61_knn,W03,807,113
0.9647058823529412,0.9524627264627265,0.9485690601176062,0.9650352358676689,class_material_freqmatched,board_lobo,v62a_knn,C01,750,170
0.9705882352941176,0.9727272727272727,0.9708996545511643,0.9711287222282179,class_material_freqmatched,board_lobo,v62a_knn,C02,750,170
0.952,0.9570450885668278,0.9551284637602337,0.952095312553112,class_material_freqmatched,board_lobo,v62a_knn,C03,795,125
0.9322033898305084,0.9371583840885774,0.9391317553681009,0.9331375853391237,class_material_freqmatched,board_lobo,v62a_knn,W01,743,177
0.9454545454545454,0.940926640926641,0.9448028799453088,0.9452744846257181,class_material_freqmatched,board_lobo,v62a_knn,W02,755,165
0.9380530973451328,0.9264367816091955,0.931010404422968,0.938311214255142,class_material_freqmatched,board_lobo,v62a_knn,W03,807,113
1.0,1.0,1.0,1.0,class_material_freqmatched,material_lomo,frequency_only_lr,carbon,455,465
0.9824175824175824,0.9836734693877551,0.9829787234042554,0.9824175824175824,class_material_freqmatched,material_lomo,frequency_only_lr,wood,465,455
0.9483870967741935,0.9486672024719291,0.9488836081562362,0.9486914809871464,class_material_freqmatched,material_lomo,frequency_plus_v62a_lr,carbon,455,465
0.9186813186813186,0.9181849546262422,0.9189657558176222,0.9179523999321739,class_material_freqmatched,material_lomo,frequency_plus_v62a_lr,wood,465,455
0.8666666666666667,0.8611914550699188,0.8594881008635606,0.8627549033066347,class_material_freqmatched,material_lomo,v61_knn,carbon,455,465
0.7846153846153846,0.7829833140468103,0.7767086142674049,0.7744015934678352,class_material_freqmatched,material_lomo,v61_knn,wood,465,455
0.9591397849462365,0.9588439280886515,0.9595900335959797,0.9593393882271873,class_material_freqmatched,material_lomo,v62a_knn,carbon,455,465
0.9340659340659341,0.9340712687069805,0.9349571637866717,0.9346486159649304,class_material_freqmatched,material_lomo,v62a_knn,wood,465,455
0.9949494949494949,0.9952380952380953,0.9945134383688601,0.9949579202591251,class_material_freqmatched,stratified,frequency_only_lr,validation,722,198
0.9595959595959596,0.9533959899749374,0.9571667564559856,0.9593025486956597,class_material_freqmatched,stratified,frequency_plus_v62a_lr,validation,722,198
0.9343434343434344,0.931639063875906,0.9308795007481585,0.9337826485114542,class_material_freqmatched,stratified,v61_knn,validation,722,198
0.9494949494949495,0.9413126566416039,0.9420210603446891,0.9483071193018544,class_material_freqmatched,stratified,v62a_knn,validation,722,198
