protocol,condition,display_name,condition_type,method,n_train,class_id,label_name,support,precision,recall,f1,held_out_group,n_test,stress_test_note
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10625,4,higher,1775,1.0,1.0,1.0,C02,2319,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,11307,0,1_1H,110,1.0,1.0,1.0,C03,1637,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,11307,1,1_1T,74,1.0,1.0,1.0,C03,1637,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,11307,2,1_2,98,1.0,0.8673469387755102,0.9289617486338798,C03,1637,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,11307,3,2_1,117,0.9,1.0,0.9473684210526316,C03,1637,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,11307,4,higher,1238,1.0,1.0,1.0,C03,1637,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10525,0,1_1H,116,1.0,1.0,1.0,W01,2419,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10525,1,1_1T,107,1.0,1.0,1.0,W01,2419,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10525,2,1_2,177,0.9076923076923077,1.0,0.9516129032258065,W01,2419,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10525,3,2_1,185,1.0,0.9027027027027027,0.9488636363636364,W01,2419,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10525,4,higher,1834,1.0,1.0,1.0,W01,2419,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10574,0,1_1H,74,1.0,1.0,1.0,W02,2370,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10574,1,1_1T,113,1.0,1.0,1.0,W02,2370,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10574,2,1_2,142,0.8930817610062893,1.0,0.9435215946843853,W02,2370,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10574,3,2_1,169,1.0,0.8994082840236687,0.9470404984423676,W02,2370,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,10574,4,higher,1872,1.0,1.0,1.0,W02,2370,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,11478,0,1_1H,90,1.0,1.0,1.0,W03,1466,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,11478,1,1_1T,93,1.0,1.0,1.0,W03,1466,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,11478,2,1_2,123,1.0,1.0,1.0,W03,1466,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,11478,3,2_1,64,1.0,1.0,1.0,W03,1466,none
board_grouped,frequency_only,Frequency only,metadata_only,random_forest,11478,4,higher,1096,1.0,1.0,1.0,W03,1466,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10211,0,1_1H,129,0.967741935483871,0.9302325581395349,0.9486166007905139,C01,2733,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10211,1,1_1T,170,0.9878048780487805,0.9529411764705882,0.9700598802395209,C01,2733,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10211,2,1_2,57,0.40601503759398494,0.9473684210526315,0.5684210526315789,C01,2733,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10211,3,2_1,77,0.1016949152542373,0.07792207792207792,0.08823529411764705,C01,2733,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10211,4,higher,2300,0.996005326231691,0.9756521739130435,0.985723698660224,C01,2733,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10625,0,1_1H,134,0.665,0.9925373134328358,0.7964071856287427,C02,2319,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10625,1,1_1T,112,0.981651376146789,0.9553571428571429,0.9683257918552036,C02,2319,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10625,2,1_2,141,0.8,0.9361702127659575,0.8627450980392157,C02,2319,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10625,3,2_1,157,0.7219512195121951,0.9426751592356688,0.8176795580110497,C02,2319,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10625,4,higher,1775,0.9951219512195122,0.9194366197183098,0.955783308931186,C02,2319,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,11307,0,1_1H,110,0.6626506024096386,1.0,0.7971014492753623,C03,1637,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,11307,1,1_1T,74,0.9078947368421053,0.9324324324324325,0.92,C03,1637,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,11307,2,1_2,98,0.49696969696969695,0.8367346938775511,0.623574144486692,C03,1637,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,11307,3,2_1,117,0.7142857142857143,0.08547008547008547,0.15267175572519084,C03,1637,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,11307,4,higher,1238,0.962171052631579,0.9450726978998385,0.9535452322738387,C03,1637,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10525,0,1_1H,116,0.76,0.9827586206896551,0.8571428571428572,W01,2419,none
board_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10525,1,1_1T,107,0.6445783132530121,1.0,0.7838827838827839,W01,2419,none
